12/1 8/1
10/1 34/1
20/1 50/1
50/1 12/1
5/1 3/1
15/1 21/1
25/1 17/1
30/1 19/1
35/1 23/1
40/1 29/1
45/1 31/1
55/1 27/1
60/1 33/1
65/1 37/1
70/1 41/1
75/1 43/1
80/1 47/1
85/1 53/1
90/1 59/1
95/1 61/1
13/1 14/1
23/1 18/1
33/1 24/1
43/1 20/1
53/1 22/1
63/1 26/1
73/1 28/1
83/1 32/1
93/1 36/1
103/1 38/1
113/1 40/1
123/1 42/1
133/1 44/1
143/1 46/1
153/1 48/1
163/1 50/1
173/1 52/1
183/1 54/1
193/1 56/1
203/1 58/1
213/1 60/1
223/1 62/1
233/1 64/1
243/1 66/1
253/1 68/1
263/1 70/1
273/1 72/1
283/1 74/1
293/1 76/1
303/1 78/1
313/1 80/1
323/1 82/1
333/1 84/1
343/1 86/1
353/1 88/1
363/1 90/1
373/1 92/1
383/1 94/1
393/1 96/1
403/1 98/1
413/1 100/1
